experiment_name,timestamp,git_sha,git_branch,status,faithfulness_mean,faithfulness_std,answer_relevancy_mean,answer_relevancy_std,context_precision_mean,context_recall_mean,recall_at_k,precision_at_k,mrr,hit_at_1,hit_at_3,latency_mean_ms,latency_p95_ms,redirect_accuracy,source_coverage,product_match_accuracy,config_retrieval_strategy,config_use_reranking,config_use_query_enhancement,config_top_k,config_hybrid_alpha
bm25,2026-06-07T16:44:51.834531,unknown,unknown,success,0.4947519841269841,0.37057156156022003,0.5494560769330403,0.41858150808300576,0.6291666666054165,0.7395833333333334,0.8840579710144928,0.2115942028985506,0.8309178743961353,0.782608695652174,0.8840579710144928,3313.8948559761047,4572.570538520813,1.0,0.8125,0.8484848484848485,bm25,False,False,5,
dense,2026-06-07T16:53:21.465148,unknown,unknown,success,0.5484319499944499,0.3539394329233295,0.5705211438171359,0.4004236724352374,0.6243749999413577,0.7125,0.8840579710144928,0.2115942028985506,0.8212560386473431,0.7681159420289855,0.8840579710144928,3426.808801293373,4998.246133327484,1.0,0.8125,0.8484848484848485,dense,False,False,5,
hybrid,2026-06-07T17:01:41.241482,unknown,unknown,success,0.46160905067155067,0.35716563128611856,0.5847465230395541,0.398899483424184,0.6549999999375103,0.7541666666666667,0.8985507246376812,0.21449275362318826,0.8659420289855072,0.8405797101449275,0.8840579710144928,3518.24848651886,5126.31629705429,1.0,0.8125,0.8484848484848485,hybrid,False,False,5,0.5
