experiment_name,timestamp,git_sha,git_branch,status,faithfulness_mean,faithfulness_std,answer_relevancy_mean,answer_relevancy_std,context_precision_mean,context_recall_mean,latency_mean_ms,latency_p95_ms,redirect_accuracy,source_coverage,product_match_accuracy,config_retrieval_strategy,config_use_reranking,config_use_query_enhancement,config_top_k,config_hybrid_alpha,config_query_enhancement_method,config_llm_provider,config_llm_model
arch_a_naive,2026-05-26T10:10:47.377449,9117961a,main,success,0.31422305764411024,0.33349024880048095,0.290343211331294,0.3406750583487701,0.4458333332939583,0.65,4148.536936442058,4645.418620109557,1.0,0.75,0.5555555555555556,dense,False,False,5,,,,
arch_b_advanced,2026-05-26T11:10:04.925176,9117961a,main,success,0.3996392496392497,0.42317736458007144,0.3461505687127334,0.37219510486207363,0.2641666666433055,0.325,5999.280818303426,6964.969563484192,1.0,0.75,0.5555555555555556,hybrid,True,True,5,0.5,hyde,,
arch_c_agentic,2026-05-26T12:10:18.510399,9117961a,main,success,0.4749999999999999,0.42414344368233897,0.3467898436043332,0.3805205469648987,0.30583333330788887,0.425,6492.03766187032,7612.427902221679,1.0,0.75,0.5555555555555556,hybrid,True,True,5,0.5,hyde,gemini,gemini-2.5-flash
