experiment_name,timestamp,git_sha,git_branch,status,faithfulness_mean,faithfulness_std,answer_relevancy_mean,answer_relevancy_std,context_precision_mean,context_recall_mean,recall_at_k,precision_at_k,mrr,hit_at_1,hit_at_3,latency_mean_ms,latency_p95_ms,redirect_accuracy,source_coverage,product_match_accuracy,config_retrieval_strategy,config_embedding_model,config_use_reranking,config_use_query_enhancement,config_top_k,config_chunk_size,config_overlap,config_hybrid_alpha,config_query_enhancement_method
01_naive_rag,2026-06-07T12:49:04.574511,unknown,unknown,success,0.4786742424242424,0.36776189390477393,0.5639103589444808,0.40713262917936255,0.6243749999413577,0.7125,0.8840579710144928,0.2115942028985506,0.8212560386473431,0.7681159420289855,0.8840579710144928,3417.138782143593,5029.880845546722,1.0,0.8125,0.8484848484848485,dense,bkai-foundation-models/vietnamese-bi-encoder,False,False,5,500.0,50.0,,
02_bm25,2026-06-07T12:57:08.853877,unknown,unknown,success,0.486667741980242,0.36924053430806203,0.5811520593066446,0.4079925889996372,0.6291666666054165,0.7395833333333334,0.8840579710144928,0.2115942028985506,0.8309178743961353,0.782608695652174,0.8840579710144928,3505.8068186044693,5018.32891702652,1.0,0.8125,0.8484848484848485,bm25,bkai-foundation-models/vietnamese-bi-encoder,False,False,5,,,,
03_hybrid,2026-06-07T13:05:30.914198,unknown,unknown,success,0.5271424755799756,0.3789402440026341,0.5749420337505097,0.4034953908608415,0.6549999999375103,0.7541666666666667,0.8985507246376812,0.21449275362318826,0.8659420289855072,0.8405797101449275,0.8840579710144928,3402.1984606981277,4911.662507057189,1.0,0.8125,0.8484848484848485,hybrid,bkai-foundation-models/vietnamese-bi-encoder,False,False,5,,,0.5,
04_hybrid_rerank,2026-06-07T13:13:41.095806,unknown,unknown,success,0.5194524572649573,0.36687794247722105,0.6009151132509839,0.39848298239736923,0.6795833332687604,0.7625,0.8985507246376812,0.21449275362318826,0.8760869565217392,0.8695652173913043,0.8695652173913043,3764.7463023662567,5320.83021402359,1.0,0.8125,0.8484848484848485,hybrid,bkai-foundation-models/vietnamese-bi-encoder,True,False,5,,,0.5,
05_intent_routed,2026-06-07T13:22:30.957024,unknown,unknown,success,0.4838244047619048,0.3686731333270023,0.60668452488972,0.39051817778501985,0.6795833332687604,0.7625,0.8985507246376812,0.21449275362318826,0.8760869565217392,0.8695652173913043,0.8695652173913043,3623.8846987485886,4995.108509063721,1.0,0.8125,0.8484848484848485,hybrid,bkai-foundation-models/vietnamese-bi-encoder,True,False,5,,,0.5,
06_full_pipeline,2026-06-07T13:30:51.127465,unknown,unknown,success,0.5053224206349206,0.38339182618679357,0.5344087661759519,0.4187907742731511,0.5802083332785417,0.6208333333333333,0.7246376811594203,0.1681159420289854,0.7210144927536232,0.7101449275362319,0.7246376811594203,5527.221414446831,7822.375094890594,1.0,0.8125,0.8181818181818182,hybrid,bkai-foundation-models/vietnamese-bi-encoder,True,True,5,,,0.5,hyde
