chunking_strategy,faithfulness,answer_relevancy,context_precision,context_recall,recall_at_k,mrr,hit_at_3,latency_mean_ms,n_queries,status
document,0.4771,0.5829,0.6244,0.7125,0.8841,0.8213,0.8841,3429.1,80,success
field,0.4968,0.5716,0.6129,0.7208,0.8696,0.8406,0.8696,3509.3,80,success
