experiment_name,timestamp,git_sha,git_branch,status,faithfulness_mean,faithfulness_std,answer_relevancy_mean,answer_relevancy_std,context_precision_mean,context_recall_mean,recall_at_k,precision_at_k,mrr,hit_at_1,hit_at_3,latency_mean_ms,latency_p95_ms,redirect_accuracy,source_coverage,product_match_accuracy,config_retrieval_strategy,config_hybrid_alpha,config_use_reranking,config_use_query_enhancement,config_query_enhancement_method,config_top_k
expand,2026-06-07T14:33:00.566964,unknown,unknown,success,0.517356913919414,0.3814406803433251,0.5550039556464819,0.4112959682233663,0.6795833332671458,0.75625,0.8985507246376812,0.21449275362318826,0.870048309178744,0.855072463768116,0.8840579710144928,5391.188472509384,7546.122062206268,1.0,0.8125,0.8484848484848485,hybrid,0.5,True,True,expand,5
hyde,2026-06-07T14:44:07.564963,unknown,unknown,success,0.48436778499278504,0.3825142140199761,0.4518389342920548,0.4338176598346303,0.530208333282552,0.59375,0.6956521739130435,0.16231884057971002,0.678743961352657,0.6666666666666666,0.6956521739130435,5466.408720612526,7556.703019142151,1.0,0.8125,0.7272727272727273,hybrid,0.5,True,True,hyde,5
no_enhancement,2026-06-07T14:55:35.312099,unknown,unknown,success,0.5252462121212121,0.3883425626078269,0.5814236616912183,0.4079360700043051,0.6795833332687604,0.7625,0.8985507246376812,0.21449275362318826,0.8760869565217392,0.8695652173913043,0.8695652173913043,3685.7457607984543,5624.942302703857,1.0,0.8125,0.8484848484848485,hybrid,0.5,True,False,,5
rewrite,2026-06-07T15:05:26.599706,unknown,unknown,success,0.48486263736263735,0.3803380525717373,0.4299409112797436,0.4233588374729083,0.4833333332866667,0.4958333333333333,0.5797101449275363,0.13913043478260867,0.6086956521739131,0.5942028985507246,0.6231884057971014,5491.516500711441,7696.559941768646,1.0,0.8125,0.5151515151515151,hybrid,0.5,True,True,rewrite,5
